,bedrooms,bathrooms,toilets,parking_space,price,title,town,state,cluster
2,4,5,5,4,120000000,2,99,16,2
6,4,5,5,4,65000000,2,99,16,0
10,3,4,5,4,25000000,6,101,1,0
11,6,6,6,4,45000000,4,126,8,0
13,4,4,5,4,70000000,4,99,16,0
16,4,4,5,4,48000000,6,99,16,0
17,3,3,4,4,37000000,1,101,1,0
18,4,5,5,4,170000000,2,144,16,2
21,3,3,4,4,34000000,6,99,16,0
25,5,5,5,4,270000000,2,99,16,1
26,5,6,5,4,250000000,2,99,16,1
29,5,5,5,4,270000000,2,99,16,1
31,4,4,5,4,140000000,2,106,16,2
36,3,5,5,4,40000000,6,10,16,0
39,4,4,5,4,55000000,6,99,16,0
41,4,5,5,4,75000000,4,48,1,0
44,5,6,6,4,270000000,2,99,16,1
45,5,5,5,4,130000000,1,89,1,2
46,3,3,4,4,25500000,0,99,16,0
47,5,5,6,4,235000000,2,106,16,1
50,5,5,6,4,120000000,2,99,16,2
51,4,5,5,4,69000000,4,99,16,0
52,5,5,6,4,105000000,2,99,16,2
57,5,5,6,4,105000000,2,99,16,2
60,4,5,5,4,60000000,4,10,16,0
61,5,6,7,4,150000000,2,99,16,2
63,5,5,6,4,75000000,2,10,16,0
70,5,5,6,4,135000000,2,99,16,2
72,5,5,6,4,280000000,2,99,16,1
73,5,5,5,4,150000000,2,99,16,2
75,4,5,6,4,131000000,6,89,1,2
76,4,4,5,4,85000000,2,99,16,0
77,5,5,6,4,155000000,2,99,16,2
79,3,3,4,4,12500000,1,59,16,0
80,4,4,5,4,60000000,2,9,16,0
81,4,4,5,4,105000000,6,99,16,2
82,5,5,6,4,100000000,2,99,16,2
85,4,5,5,4,75000000,6,78,1,0
86,4,5,5,4,70000000,2,99,16,0
89,5,5,6,4,145000000,2,99,16,2
90,4,5,5,4,52500000,2,128,1,0
91,4,4,5,4,61000000,4,99,16,0
92,5,5,6,4,110000000,2,99,16,2
95,5,6,6,4,260000000,2,99,16,1
96,4,4,5,4,29800000,6,10,16,0
97,4,5,6,4,145000000,6,99,16,2
101,4,4,5,4,45000000,2,10,16,0
102,5,5,6,4,260000000,2,99,3,1
106,3,3,4,4,135000000,0,58,1,2
107,3,5,5,4,42000000,6,10,16,0
110,3,5,5,4,55000000,0,106,16,0
